Grant Name,Funder,Amount,Deadline,Status,Fit Score,Category,Eligibility,Website,Notes,Applied,Decision
Home Depot Path to Pro,Home Depot Foundation,$10000,Rolling,OPEN NOW,HIGH,Corporate,"Nonprofits, existing construction programs",https://corporate.homedepot.com/grants,Apply immediately - rolling deadline,,
CareerSource WIOA Youth,CareerSource South Florida,Varies per student,Rolling,OPEN NOW,HIGH,State/Local,"Ages 18-24, foster youth, low-income",https://www.careersourcesfl.com,Contact to become approved provider,,
YouthBuild 2027,DOL Employment & Training,$1M - $2M,Feb-Mar 2027,PREPARE NOW,VERY HIGH,Federal,"Nonprofits serving ages 16-24, construction training",https://www.dol.gov/agencies/eta/grants,Perfect fit - start preparing application now,,
Workforce Pell Grants,Dept of Education,$4310/student/year,July 2026 Start,PREPARE NOW,HIGH,Federal,"Low-income students, 8-week+ programs",https://www.ed.gov,Become Workforce Pell eligible institution,,
Lowe's Foundation Gable Grants,Lowe's Foundation,"$260K - $1M",Next Cycle TBD,MONITOR,VERY HIGH,Corporate,"Nonprofits, skilled trades training",https://www.lowesfoundation.org/gable-grants,Wait for next application cycle Fall 2026,,
Caterpillar Foundation,Caterpillar Foundation,"$100K - $2.5M",Invitation Only,CULTIVATE,VERY HIGH,Corporate,"Nonprofits, equipment workforce programs",https://www.caterpillar.com/foundation,Contact local CAT dealer for introduction,,
John Deere Foundation,John Deere Foundation,"$25K - $2.5M",Invitation Only,CULTIVATE,VERY HIGH,Corporate,"Nonprofits, equipment workforce programs",https://www.deere.com/foundation,Contact local dealer for introduction,,
Walter S. Johnson Foundation,Walter S. Johnson Foundation,"$10K - $400K",Varies,RESEARCH,VERY HIGH,Private Foundation,"Youth 14-26, foster youth, workforce programs",https://wsjf.org/grants/,Perfect fit for foster youth focus,,
Stanley Black & Decker Grow the Trades,DEWALT/Stanley Black & Decker,~$24000 avg,2026 Cycle TBD,MONITOR,HIGH,Corporate,"Nonprofits, construction trades, underserved populations",https://www.stanleyblackanddecker.com/impact/people/grow-the-trades,Monitor for 2026 application opening,,
OSHA Susan Harwood Grants,OSHA/DOL,Varies,2027 Cycle,PREPARE,HIGH,Federal,"Nonprofits, safety training for underserved",https://www.osha.gov/harwoodgrants,Could fund OSHA 10 component specifically,,
Conrad Hilton Foundation Foster Youth,Conrad N. Hilton Foundation,$100K+,Invitation/Varies,CULTIVATE,HIGH,Private Foundation,"Foster youth 18-24, career pathways",https://www.hiltonfoundation.org/work/our-initiatives/foster-youth/,Build relationship through foster networks,,
Annie E. Casey Foundation,Annie E. Casey Foundation,"$50K - $200K",Invitation Only,CULTIVATE,MEDIUM-HIGH,Private Foundation,"Youth/family focused, foster youth",https://www.aecf.org/grant-making,Does not accept unsolicited proposals,,
Bank of America Foundation,Bank of America,"$5K - $100K+",Semi-annual RFP,MONITOR,HIGH,Corporate,"Nonprofits, workforce development, Miami priority market",https://about.bankofamerica.com/en/making-an-impact/grant-funding,Wait for next RFP cycle,,
JPMorgan Chase Foundation,JPMorgan Chase,"$100K - $1M+",Competitive Cycles,MONITOR,MEDIUM-HIGH,Corporate,"Nonprofits, workforce training",https://www.jpmorganchase.com/impact/careers-and-skills,Miami is priority market,,
Miami Foundation Community Grants,The Miami Foundation,Up to $100000,Reopens 2027,MONITOR,MEDIUM-HIGH,Local,"Miami nonprofits, youth/family focus",https://miamifoundation.org/community-grants/,Prepare for 2027 cycle,,
Florida Job Growth Grant Fund,Florida DEO,Up to $500000,Competitive Cycles,RESEARCH,MEDIUM,State,"Workforce training, job creation",https://floridajobs.org/jobgrowth,Check current application status,,
AEM Next Gen Grant,AEM Foundation,$10000,Requires Nomination,CULTIVATE,HIGH,Trade Association,"Nonprofits, must be nominated by AEM member",https://www.aem.org/workforce-solutions/,Need equipment dealer nomination,,
SkillsUSA Davis Memorial,SkillsUSA/Davis Foundation,$2500,Annual,RESEARCH,MEDIUM-HIGH,Trade Association,"Programs with SkillsUSA chapters",https://www.skillsusa.org/,Consider establishing SkillsUSA chapter,,
AGC Education Foundation,AGC of Florida,Varies,Check FL Chapter,RESEARCH,MEDIUM,Trade Association,"Construction career programs",https://www.agc.org/,Contact AGC of South Florida,,
National Housing Endowment,NAHB,"Up to $100K",Varies,RESEARCH,MEDIUM,Trade Association,"Construction/trades training",https://apply.nationalhousingendowment.org/,Multiple grant types available,,
Komatsu/AED Foundation,Komatsu,Partnership Model,N/A,CULTIVATE,MEDIUM-HIGH,Corporate,"Equipment training programs",https://www.komatsu.com/,Contact FL Komatsu dealer (Ring Power),,
Road to Independence (Student),Florida DCF,$5000/student/year,Rolling,PROMOTE TO STUDENTS,HIGH,State - Student Aid,"FL foster youth 18-22, vocational programs",https://www.myflfamilies.com,Students apply through DCF,,
Education Training Voucher (Student),HHS via FL DCF,$5000/student/year,Rolling,PROMOTE TO STUDENTS,HIGH,Federal - Student Aid,"Foster youth 18-23, vocational training",https://www.myflfamilies.com,Students apply through DCF,,
FL Tuition Exemption (Student),State of Florida,100% Tuition,Rolling,PROMOTE TO STUDENTS,HIGH,State - Student Aid,"Foster youth 18-28",Institution financial aid office,Student benefit - tuition waiver,,
DEWALT Trades Scholarship (Student),DEWALT/SkillPointe,$5000,Feb 28 2026,PROMOTE TO STUDENTS,HIGH,Corporate - Student Aid,"Trades students",https://www.skillpointefoundation.org/dewalt-trades-scholarship,Deadline approaching - tell students,,
American Industries Scholarship (Student),Foster Love/Milligan,$10000 over 2 years,Varies,PROMOTE TO STUDENTS,HIGH,Private - Student Aid,"Foster youth in trades",Search Foster Love scholarships,Perfect for foster youth students,,
Mike Rowe Work Ethic (Student),mikeroweWORKS,Up to $20000,Varies,PROMOTE TO STUDENTS,MEDIUM,Private - Student Aid,"Trades students",https://www.mikeroweworks.org/scholarships,Construction may qualify,,
Youth Villages Propelling into Triumph,Youth Villages,Varies,Jan 31 2026,URGENT,HIGH,Private Foundation,"Miami foster youth programs",https://youthvillages.org/get-involved/grants/,Miami-specific - deadline soon,,
SAMHSA Faith-Based Grants,HHS/SAMHSA,"$300K - $2M",FY 2026 Varies,MONITOR,MEDIUM-HIGH,Federal,"Faith-based orgs, workforce as wraparound",https://www.samhsa.gov/grants/grants-dashboard,Monitor SAMHSA dashboard for opportunities,,
Wells Fargo Foundation,Wells Fargo,Varies,Invitation Process,CULTIVATE,MEDIUM,Corporate,"Nonprofits, workforce secondary priority",https://www.wellsfargo.com/about/responsibility-and-impact/community-giving/grant-process/,Submit Grant Interest Form,,
EDA Good Jobs Challenge,Economic Development Admin,Varies,Rolling,RESEARCH,MEDIUM-HIGH,Federal,"Regional workforce coalitions",https://www.eda.gov/funding,Join Miami workforce coalitions,,
Chafee ETV Program,HHS via FL DCF,$5000/student/year,Rolling,PROMOTE TO STUDENTS,HIGH,Federal - Student Aid,"Foster youth vocational training",https://www.myflfamilies.com/services/child-family/independent-living,Students apply - can stack with other aid,,
Duke Energy Foundation,Duke Energy,Up to $20000,Rolling,CHECK ELIGIBILITY,MEDIUM,Corporate,"Workforce development - check service area",Duke Energy Foundation website,Miami-Dade may not be in service area,,
Ira W. DeCamp Foundation,JPMorgan Chase (admin),$75000+,Varies,CULTIVATE,MEDIUM-HIGH,Private Foundation,"Foster care + workforce focus",DeCamp_Foster_Care@jpmorgan.com,Email to inquire about application,,
Kresge Foundation,Kresge Foundation,"$100K - $1M+",Invitation Only,CULTIVATE,MEDIUM,Private Foundation,"Urban workforce, construction trades",https://kresge.org/grants-social-investments/,Build relationships through Miami networks,,
